Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
North Dakota,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,17625552
Colorado,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",22581706
Michigan,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,19880000
Marshall Islands,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,367754
Texas,El Paso,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",9881233
South Carolina,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1656384
Mississippi,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Georgia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,7794920
Missouri,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",49662874
Arizona,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,150148030
Palau,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
Kentucky,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,257152034
New York,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,700248982
District of Columbia,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,40621771
Ohio,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1885500
Washington,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,68807053
American Samoa,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",583215
New York,New York City,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,5434587
Arizona,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),2211274
Indiana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),292975
Utah,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,3382713
Micronesia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,1220613
Wyoming,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,17431937
Florida,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,284946
New York,New York City,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,6588043
Micronesia,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",3850302
North Carolina,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1343000
Arizona,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3713670
Virginia,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,75768
California,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,37706709
North Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Texas,San Antonio,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,0
Florida,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Nevada,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,4999742
Alabama,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1124400
Oregon,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Missouri,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,10987397
Pennsylvania,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,16904048
New Hampshire,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,576526
Colorado,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Marshall Islands,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,25000
Washington,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,1500000
Ohio,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Guam,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,9698588
Hawaii,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Connecticut,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,33927262
American Samoa,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,36268
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,15012020
Pennsylvania,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
California,Riverside County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",23420926
Texas,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,5407500
Oklahoma,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Tennessee,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,3484345
Connecticut,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,21851989
Pennsylvania,Philadelphia,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,1162961
Mississippi,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,5874996
Oregon,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Emerging Infections Program Award,665000
Utah,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1078992
Colorado,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1415012
Nevada,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3220348
California,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",Emerging Infections Program Award,560000
Georgia,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,319791575
Alabama,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,6164994
Massachusetts,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4686602
California,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Emerging Infections Program Award,988000
Alaska,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",36041076
District of Columbia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,24284785
Arizona,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,12446524
Hawaii,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Massachusetts,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,4350185
Florida,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,420883713
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,35053171
Indiana,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",50641041
Colorado,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,6010472
Hawaii,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,558492
Pennsylvania,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,18782276
North Dakota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,1190000
Indiana,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,171073
Idaho,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1881778
Louisiana,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,128367
Massachusetts,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,18526355
American Samoa,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,370247
New Mexico,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,848540
California,Los Angeles County,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1910500
Nevada,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,92772788
West Virginia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Montana,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",11609852
Kentucky,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3605930
Virginia,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,77125694
Louisiana,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,190781430
New York,New York City,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,12897438
District of Columbia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,17029145
Vermont,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Northern Marianas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Texas,Houston,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,939037
Pennysylvania,Philadelphia,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",18787457
Virginia,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,9965263
South Carolina,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,13898555
California,Santa Clara County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",16515503
Delaware,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,67436696
New Mexico,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,820879
Hawaii,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Wisconsin,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),741622
Arizona,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4898780
Virgin Islands,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,1000000
Mississippi,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6527773
Puerto Rico,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",10162773
Rhode Island,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,857679
Kansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Tennessee,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,10078294
Virgin Islands,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,31987
Utah,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,96561883
Palau,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,1249017
Minnesota,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Emerging Infections Program Award,860000
Puerto Rico,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Louisiana,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1706750
Mississippi,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Nebraska,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5517520
New Jersey,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,15400178
Connecticut,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3210954
Wyoming,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",7204934
New York,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Texas,Houston,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,20965609
Puerto Rico,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,30036147
Maryland,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,347979565
Michigan,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,6386578
Nevada,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",9514886
Maryland,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,438379
Kentucky,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1124400
Missouri,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4271779
Maine,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),753963
New York,New York City,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,4086486
Wyoming,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Minnesota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,3998300
Kentucky,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",36060821
Minnesota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,10048124
Massachusetts,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",52607660
Ohio,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,4431935
New York,New York City,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,479853706
Oregon,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,4868623
New Hampshire,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),422167
Connecticut,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,4480000
Colorado,Denver,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",4435695
Montana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,2450000
Marshall Islands,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,100000
Delaware,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,60201
Oklahoma,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,903000
Nebraska,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,647550
Alabama,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,282219400
Pennsylvania,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,26670000
Washington,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,18897140
Alaska,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,1113562
Nevada,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",32288061
Illinois,Chicago,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,8743675
Washington,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,3314120
Arkansas,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Ohio,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,7321756
Rhode Island,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,777744
Maine,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5000000
Idaho,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,608811
Pennsylvania,Philadelphia,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,998340
District of Columbia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Northern Marianas,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Colorado,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,2212500
American Samoa,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,14879
Florida,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,30329229
California,Los Angeles County,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Florida,Miami-Dade County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",29051823
Iowa,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,453891
Illinois,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Florida,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,500000
South Dakota,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Colorado,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Louisiana,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,3412973
Alabama,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Palau,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,15931
Washington,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
New York,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,334830878
Arkansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,9310000
Vermont,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,4649471
Arkansas,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,885000
Maine,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1638483
Washington,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,45536572
Kansas,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,991249
Alaska,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
New Hampshire,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,410480
Utah,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,6441413
Texas,Dallas County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",30394909
Oklahoma,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),2000000
American Samoa,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,281000
North Carolina,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),6000000
Massachusetts,Boston,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",5645162
Georgia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,250000
Texas,San Antonio,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,0
California,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,887715802
Marshall Islands,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,350000
Idaho,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Minnesota,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",Emerging Infections Program Award,560000
California,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,499203180
South Dakota,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,846000
Oregon,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",33925082
California,Los Angeles County,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1866315
Delaware,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
New York,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,427519
Alaska,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",8771349
Texas,Houston,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,62239284
Illinois,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2771270
Texas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,18089777
Maryland,Prince George's County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),5999724
Marshall Islands,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,496179
Oklahoma,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2617988
Florida,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,511146
Arizona,Pima County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",6510503
Connecticut,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,32215409
Nebraska,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4796664
Texas,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,24146890
Texas,Harris County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",27627507
